journal,issn,cas_partition,quality_tier,source,note
ANIMAL BEHAVIOUR,0003-3472,Q1,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.3; eissn=1095-8282; url=https://www.iikx.com/sci/biology/10201.html
ANIMAL COGNITION,1435-9448,Q1,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.3; eissn=1435-9456; url=https://www.iikx.com/sci/biology/10205.html
ANIMAL HEALTH RESEARCH REVIEWS,1466-2523,Q1,,iikx biology api,CAS biology class; subclass=兽医学; IF2024=8.1; eissn=1475-2654; url=https://www.iikx.com/sci/biology/19147.html
ANNALS OF BOTANY,0305-7364,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=4.1; eissn=1095-8290; url=https://www.iikx.com/sci/biology/10257.html
ANNALS OF HUMAN BIOLOGY,0301-4460,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=1.8; eissn=1464-5033; url=https://www.iikx.com/sci/biology/10272.html
ANNALS OF MICROBIOLOGY,1590-4261,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=5.1; eissn=1869-2044; url=https://www.iikx.com/sci/biology/10280.html
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,0013-8746,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.2; eissn=1938-2901; url=https://www.iikx.com/sci/biology/10302.html
ANTIOXIDANTS & REDOX SIGNALING,1523-0864,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.8; eissn=1557-7716; url=https://www.iikx.com/sci/biology/10358.html
APOPTOSIS,1360-8185,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=9.0; eissn=1573-675X; url=https://www.iikx.com/sci/biology/10367.html
AUK,0004-8038,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.9; eissn=2732-4613; url=https://www.iikx.com/sci/biology/10621.html
Acta Crystallographica Section D-Structural Biology,2059-7983,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=4.3; eissn=2059-7983; url=https://www.iikx.com/sci/biology/19134.html
Advances in Applied Microbiology,0065-2164,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/9889.html
Advances in Insect Physiology,0065-2806,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=0.0; eissn=2213-6800; url=https://www.iikx.com/sci/biology/9925.html
Advances in Marine Biology,0065-2881,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=0.0; eissn=2162-5875; url=https://www.iikx.com/sci/biology/9926.html
Advances in Virus Research,0065-3527,Q1,,iikx biology api,CAS biology class; subclass=病毒学; IF2024=0.0; eissn=1557-8399; url=https://www.iikx.com/sci/biology/9952.html
Algal Research-Biomass Biofuels and Bioproducts,2211-9264,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=5.0; eissn=2211-9264; url=https://www.iikx.com/sci/biology/18560.html
Alpine Botany,1664-2201,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=3.9; eissn=1664-221X; url=https://www.iikx.com/sci/biology/17972.html
Animal Biotelemetry,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.0; eissn=2050-3385; url=https://www.iikx.com/sci/biology/36432.html
Animal Cells and Systems,1976-8354,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=3.6; eissn=2151-2485; url=https://www.iikx.com/sci/biology/10204.html
Animal Microbiome,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.5; eissn=2524-4671; url=https://www.iikx.com/sci/biology/32233.html
Annual Review of Animal Biosciences,2165-8102,Q1,,iikx biology api,CAS biology class; subclass=奶制品与动物科学; IF2024=12.3; eissn=2165-8110; url=https://www.iikx.com/sci/biology/18569.html
Annual Review of Biochemistry,0066-4154,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=24.9; eissn=1545-4509; url=https://www.iikx.com/sci/biology/10318.html
Annual Review of Biophysics,1936-122X,Q1,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=12.9; eissn=1936-1238; url=https://www.iikx.com/sci/biology/10320.html
Annual Review of Cell and Developmental Biology,1081-0706,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=12.5; eissn=1530-8995; url=https://www.iikx.com/sci/biology/10321.html
Annual Review of Ecology Evolution and Systematics,1543-592X,Q1,,iikx biology api,CAS biology class; subclass=生态学; IF2024=12.9; eissn=1545-2069; url=https://www.iikx.com/sci/biology/10324.html
Annual Review of Entomology,0066-4170,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=16.9; eissn=1545-4487; url=https://www.iikx.com/sci/biology/10325.html
Annual Review of Genetics,0066-4197,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=9.1; eissn=1545-2948; url=https://www.iikx.com/sci/biology/10328.html
Annual Review of Genomics and Human Genetics,1527-8204,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=8.3; eissn=1545-293X; url=https://www.iikx.com/sci/biology/10329.html
Annual Review of Microbiology,0066-4227,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=12.2; eissn=1545-3251; url=https://www.iikx.com/sci/biology/10335.html
Annual Review of Plant Biology,1543-5008,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=26.4; eissn=1545-2123; url=https://www.iikx.com/sci/biology/10344.html
Asian Herpetological Research,2095-0357,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.2; eissn=2095-0357; url=https://www.iikx.com/sci/biology/17982.html
Autophagy,1554-8627,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=18.6; eissn=1554-8635; url=https://www.iikx.com/sci/biology/10672.html
Avian Research,2053-7166,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=2.2; eissn=2053-7166; url=https://www.iikx.com/sci/biology/19158.html
BBA Advances,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.5; eissn=2667-1603; url=https://www.iikx.com/sci/biology/70722.html
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,Q1,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.0; eissn=1432-0762; url=https://www.iikx.com/sci/biology/10702.html
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.1; eissn=2165-0586; url=https://www.iikx.com/sci/biology/10729.html
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,1388-1981,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.8; eissn=1879-2618; url=https://www.iikx.com/sci/biology/10750.html
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,0925-4439,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.0; eissn=1879-260X; url=https://www.iikx.com/sci/biology/10751.html
BIOCONJUGATE CHEMISTRY,1043-1802,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=4.5; eissn=1520-4812; url=https://www.iikx.com/sci/biology/10757.html
BIOCONTROL,1386-6141,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.5; eissn=1573-8248; url=https://www.iikx.com/sci/biology/10758.html
BIOELECTROCHEMISTRY,1567-5394,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.9; eissn=1878-562X; url=https://www.iikx.com/sci/biology/10765.html
BIOESSAYS,0265-9247,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.3; eissn=1521-1878; url=https://www.iikx.com/sci/biology/10768.html
BIOFACTORS,0951-6433,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.2; eissn=1872-8081; url=https://www.iikx.com/sci/biology/10770.html
BIOINFORMATICS,1367-4803,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=5.5; eissn=1367-4811; url=https://www.iikx.com/sci/biology/10777.html
BIOLOGICAL CONTROL,1049-9644,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=4.0; eissn=1090-2112; url=https://www.iikx.com/sci/biology/10788.html
BIOLOGICAL PROCEDURES ONLINE,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=4.9; eissn=1480-9222; url=https://www.iikx.com/sci/biology/10792.html
BIOLOGICAL RESEARCH,0716-9760,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.4; eissn=0717-6287; url=https://www.iikx.com/sci/biology/10795.html
BIOLOGICAL REVIEWS,1464-7931,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=10.9; eissn=1469-185X; url=https://www.iikx.com/sci/biology/10797.html
BIOLOGY & PHILOSOPHY,0169-3867,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=1.3; eissn=1572-8404; url=https://www.iikx.com/sci/biology/40307.html
BIOLOGY OF SPORT,0860-021X,Q1,,iikx biology api,CAS biology class; subclass=运动科学; IF2024=6.4; eissn=2083-1862; url=https://www.iikx.com/sci/biology/10812.html
BIOMASS & BIOENERGY,0961-9534,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=7.0; eissn=1873-2909; url=https://www.iikx.com/sci/biology/29689.html
BIOMETRICAL JOURNAL,0323-3847,Q1,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=2.1; eissn=1521-4036; url=https://www.iikx.com/sci/biology/10834.html
BIOORGANIC & MEDICINAL CHEMISTRY,0968-0896,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.5; eissn=1464-3391; url=https://www.iikx.com/sci/biology/35879.html
BIOORGANIC CHEMISTRY,0045-2068,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.1; eissn=1090-2120; url=https://www.iikx.com/sci/biology/10842.html
BIOSCIENCE,0006-3568,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=9.5; eissn=1525-3244; url=https://www.iikx.com/sci/biology/10854.html
BIOSENSORS & BIOELECTRONICS,0956-5663,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=11.8; eissn=1873-4235; url=https://www.iikx.com/sci/biology/35466.html
BIOSTATISTICS,1465-4644,Q1,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=2.1; eissn=1468-4357; url=https://www.iikx.com/sci/biology/10859.html
BIRD CONSERVATION INTERNATIONAL,0959-2709,Q1,,iikx biology api,CAS biology class; subclass=生物多样性保护; IF2024=1.9; eissn=1474-0001; url=https://www.iikx.com/sci/biology/10879.html
BMC BIOINFORMATICS,1471-2105,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=4.4; eissn=1471-2105; url=https://www.iikx.com/sci/biology/10898.html
BMC BIOLOGY,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.4; eissn=1741-7007; url=https://www.iikx.com/sci/biology/10899.html
BMC MICROBIOLOGY,1471-2180,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=5.4; eissn=1471-2180; url=https://www.iikx.com/sci/biology/10920.html
BMC PLANT BIOLOGY,1471-2229,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=5.6; eissn=1471-2229; url=https://www.iikx.com/sci/biology/10926.html
BMC Zoology,N/A,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.2; eissn=2056-3132; url=https://www.iikx.com/sci/biology/40392.html
BOTANICAL REVIEW,0006-8101,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=5.4; eissn=1874-9372; url=https://www.iikx.com/sci/biology/10952.html
BRIEFINGS IN BIOINFORMATICS,1467-5463,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=7.3; eissn=1477-4054; url=https://www.iikx.com/sci/biology/10995.html
BioChip Journal,1976-0280,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=6.7; eissn=2092-7843; url=https://www.iikx.com/sci/biology/10756.html
BioData Mining,1756-0381,Q1,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=7.9; eissn=1756-0381; url=https://www.iikx.com/sci/biology/18586.html
BioScience Trends,1881-7815,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=4.9; eissn=1881-7823; url=https://www.iikx.com/sci/biology/17878.html
Bioengineered,2165-5979,Q1,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=4.2; eissn=2165-5987; url=https://www.iikx.com/sci/biology/19160.html
Biofilm,2590-2075,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.7; eissn=2590-2075; url=https://www.iikx.com/sci/biology/33373.html
Biology Direct,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.5; eissn=1745-6150; url=https://www.iikx.com/sci/biology/10808.html
Biology-Basel,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=4.3; eissn=2079-7737; url=https://www.iikx.com/sci/biology/33559.html
Biomolecules,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.6; eissn=2218-273X; url=https://www.iikx.com/sci/biology/27533.html
Biophysical Reviews,1867-2450,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.0; eissn=1867-2469; url=https://www.iikx.com/sci/biology/64821.html
Biosemiotics,1875-1342,Q1,,iikx biology api,CAS biology class; subclass=科学史与科学哲学; IF2024=1.6; eissn=1875-1350; url=https://www.iikx.com/sci/biology/17991.html
CBE-Life Sciences Education,1931-7913,Q1,,iikx biology api,CAS biology class; subclass=学科教育; IF2024=3.6; eissn=1931-7913; url=https://www.iikx.com/sci/biology/11208.html
CELL,0092-8674,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=45.1; eissn=1097-4172; url=https://www.iikx.com/sci/biology/11211.html
CELL BIOLOGY AND TOXICOLOGY,0742-2091,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=5.7; eissn=1573-6822; url=https://www.iikx.com/sci/biology/11216.html
CELL CALCIUM,0143-4160,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.9; eissn=1532-1991; url=https://www.iikx.com/sci/biology/11218.html
CELL DEATH AND DIFFERENTIATION,1350-9047,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=13.6; eissn=1476-5403; url=https://www.iikx.com/sci/biology/11222.html
CELL PROLIFERATION,0960-7722,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=7.6; eissn=1365-2184; url=https://www.iikx.com/sci/biology/11225.html
CELL RESEARCH,1001-0602,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=31.1; eissn=1748-7838; url=https://www.iikx.com/sci/biology/11226.html
CELLULAR & MOLECULAR BIOLOGY LETTERS,1425-8153,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=12.2; eissn=1689-1392; url=https://www.iikx.com/sci/biology/11232.html
CELLULAR AND MOLECULAR LIFE SCIENCES,1420-682X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.5; eissn=1420-9071; url=https://www.iikx.com/sci/biology/11236.html
CELLULAR AND MOLECULAR NEUROBIOLOGY,0272-4340,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=7.4; eissn=1573-6830; url=https://www.iikx.com/sci/biology/11237.html
CHEMICO-BIOLOGICAL INTERACTIONS,0009-2797,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.2; eissn=1872-7786; url=https://www.iikx.com/sci/biology/11307.html
CLADISTICS,0748-3007,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=8.9; eissn=1096-0031; url=https://www.iikx.com/sci/biology/11406.html
COLLOIDS AND SURFACES B-BIOINTERFACES,0927-7765,Q1,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=5.9; eissn=1873-4367; url=https://www.iikx.com/sci/biology/11539.html
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.4; eissn=1531-4332; url=https://www.iikx.com/sci/biology/11573.html
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1096-4959,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.5; eissn=1879-1107; url=https://www.iikx.com/sci/biology/11574.html
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,1532-0456,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.4; eissn=1878-1659; url=https://www.iikx.com/sci/biology/34154.html
COMPUTATIONAL BIOLOGY AND CHEMISTRY,1476-9271,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.4; eissn=1476-928X; url=https://www.iikx.com/sci/biology/11609.html
CONDOR,0010-5422,Q1,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=2.7; eissn=2732-4621; url=https://www.iikx.com/sci/biology/11672.html
COPEIA,0045-8511,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=0.0; eissn=; url=https://www.iikx.com/sci/biology/11702.html
CORAL REEFS,0722-4028,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=3.5; eissn=1432-0975; url=https://www.iikx.com/sci/biology/11703.html
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1040-9238,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=8.7; eissn=1549-7798; url=https://www.iikx.com/sci/biology/11720.html
CRITICAL REVIEWS IN MICROBIOLOGY,1040-841X,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=7.0; eissn=1549-7828; url=https://www.iikx.com/sci/biology/11727.html
CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=7.5; eissn=1549-7836; url=https://www.iikx.com/sci/biology/11729.html
CURRENT BIOLOGY,0960-9822,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.7; eissn=1879-0445; url=https://www.iikx.com/sci/biology/11764.html
CURRENT OPINION IN CHEMICAL BIOLOGY,1367-5931,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.2; eissn=1879-0402; url=https://www.iikx.com/sci/biology/11792.html
CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.3; eissn=1879-0380; url=https://www.iikx.com/sci/biology/11798.html
CURRENT OPINION IN MICROBIOLOGY,1369-5274,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=8.0; eissn=1879-0364; url=https://www.iikx.com/sci/biology/11804.html
CURRENT OPINION IN PLANT BIOLOGY,1369-5266,Q1,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=7.3; eissn=1879-0356; url=https://www.iikx.com/sci/biology/11816.html
CURRENT OPINION IN STRUCTURAL BIOLOGY,0959-440X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.8; eissn=1879-033X; url=https://www.iikx.com/sci/biology/11821.html
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=13.4; eissn=1879-0305; url=https://www.iikx.com/sci/biology/11855.html
Cancer & Metabolism,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.9; eissn=2049-3002; url=https://www.iikx.com/sci/biology/33582.html
Cell Chemical Biology,2451-9456,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=9.0; eissn=2451-9448; url=https://www.iikx.com/sci/biology/19513.html
Cell Communication and Signaling,N/A,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=11.6; eissn=1478-811X; url=https://www.iikx.com/sci/biology/11220.html
Cell Death & Disease,2041-4889,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=12.2; eissn=2041-4889; url=https://www.iikx.com/sci/biology/17920.html
Cell Discovery,N/A,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=16.9; eissn=2056-5968; url=https://www.iikx.com/sci/biology/19568.html
Cell Host & Microbe,1931-3128,Q1,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=23.2; eissn=1934-6069; url=https://www.iikx.com/sci/biology/11223.html
Cell Metabolism,1550-4131,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=37.0; eissn=1932-7420; url=https://www.iikx.com/sci/biology/11224.html
Cell Reports,2211-1247,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=7.7; eissn=2211-1247; url=https://www.iikx.com/sci/biology/18308.html
Cell Stem Cell,1934-5909,Q1,,iikx biology api,CAS biology class; subclass=细胞与组织工程; IF2024=23.3; eissn=1875-9777; url=https://www.iikx.com/sci/biology/11227.html
Cell Surface,2468-2330,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=9.3; eissn=2468-2330; url=https://www.iikx.com/sci/biology/67379.html
Cell Systems,2405-4712,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.5; eissn=2405-4720; url=https://www.iikx.com/sci/biology/19387.html
Cell and Bioscience,N/A,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.5; eissn=2045-3701; url=https://www.iikx.com/sci/biology/18307.html
Cold Spring Harbor Perspectives in Biology,1943-0264,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=8.5; eissn=1943-0264; url=https://www.iikx.com/sci/biology/17919.html
Communications Biology,N/A,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.8; eissn=2399-3642; url=https://www.iikx.com/sci/biology/25283.html
Cosmetics,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.1; eissn=2079-9284; url=https://www.iikx.com/sci/biology/33169.html
Current Molecular Pharmacology,1874-4672,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=7.2; eissn=1874-4702; url=https://www.iikx.com/sci/biology/19621.html
Current Opinion in Insect Science,2214-5745,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=5.5; eissn=2214-5753; url=https://www.iikx.com/sci/biology/19176.html
Current Research in Biotechnology,2590-2628,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=6.7; eissn=2590-2628; url=https://www.iikx.com/sci/biology/71910.html
Current Research in Insect Science,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=2.3; eissn=2666-5158; url=https://www.iikx.com/sci/biology/70799.html
Current Research in Microbial Sciences,2666-5174,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.6; eissn=2666-5174; url=https://www.iikx.com/sci/biology/72090.html
Current Research in Structural Biology,N/A,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=4.2; eissn=2665-928X; url=https://www.iikx.com/sci/biology/26971.html
Current Topics in Developmental Biology,0070-2153,Q1,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=0.0; eissn=1557-8933; url=https://www.iikx.com/sci/biology/11838.html
Current Zoology,1674-5507,Q1,,iikx biology api,CAS biology class; subclass=动物学; IF2024=2.1; eissn=2396-9814; url=https://www.iikx.com/sci/biology/18624.html
DEVELOPMENT,0950-1991,Q1,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=4.0; eissn=1477-9129; url=https://www.iikx.com/sci/biology/11905.html
DEVELOPMENTAL CELL,1534-5807,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=9.2; eissn=1878-1551; url=https://www.iikx.com/sci/biology/11910.html
DIFFERENTIATION,0301-4681,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.0; eissn=1432-0436; url=https://www.iikx.com/sci/biology/11943.html
Disease Models & Mechanisms,1754-8403,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=3.6; eissn=1754-8411; url=https://www.iikx.com/sci/biology/29715.html
EMBO JOURNAL,0261-4189,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=8.4; eissn=1460-2075; url=https://www.iikx.com/sci/biology/12112.html
EMBO REPORTS,1469-221X,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=6.0; eissn=1469-3178; url=https://www.iikx.com/sci/biology/12114.html
ENTOMOLOGIA GENERALIS,0171-8177,Q1,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=4.3; eissn=2363-7102; url=https://www.iikx.com/sci/biology/12170.html
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.6; eissn=1476-5438; url=https://www.iikx.com/sci/biology/12303.html
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,Q1,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=2.9; eissn=1879-0607; url=https://www.iikx.com/sci/biology/12381.html
EXCLI Journal,1611-2156,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=6.2; eissn=1611-2156; url=https://www.iikx.com/sci/biology/12388.html
